wafer_id,stage,wafers_remaining,budget_remaining,budget_remaining_after,budget_per_wafer,adjustment,tau_base,tau_adjusted,risk_score,decision,reason
W012,0,38,450,450,11.842105263157896,0.08,0.5773292869333333,0.623515629888,0.20081554599999996,pass,low_budget
W014,0,37,450,450,12.162162162162161,0.0,0.5773292869333333,0.5773292869333333,0.544409404,pass,normal
W013,0,36,450,450,12.5,0.0,0.5773292869333333,0.5773292869333333,0.23667872866666664,pass,normal
W009,0,35,450,450,12.857142857142858,0.0,0.5773292869333333,0.5773292869333333,0.34685898066666665,pass,normal
W016,0,34,450,300,13.235294117647058,0.0,0.5773292869333333,0.5773292869333333,0.5946713326666666,inspect,normal
W024,0,33,300,300,9.090909090909092,0.15,0.5773292869333333,0.6639286799733333,0.02903226666666664,pass,critical_budget
W009,0,32,300,300,9.375,0.15,0.5773292869333333,0.6639286799733333,0.5357133433333333,pass,critical_budget
W003,0,31,300,300,9.67741935483871,0.15,0.5773292869333333,0.6639286799733333,0.5504890226666667,pass,critical_budget
W022,0,30,300,300,10.0,0.08,0.5773292869333333,0.623515629888,0.23322996133333332,pass,low_budget
W012,0,29,300,300,10.344827586206897,0.08,0.5773292869333333,0.623515629888,0.21472454666666663,pass,low_budget
W018,0,28,300,300,10.714285714285714,0.08,0.5773292869333333,0.623515629888,0.5187220006666666,pass,low_budget
W011,0,27,300,300,11.11111111111111,0.08,0.5773292869333333,0.623515629888,0.5369577433333333,pass,low_budget
W009,0,26,300,300,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.5826934726666666,pass,low_budget
W025,0,25,300,300,12.0,0.0,0.5773292869333333,0.5773292869333333,0.45956312199999994,pass,normal
W018,0,24,300,300,12.5,0.0,0.5773292869333333,0.5773292869333333,0.255186788,pass,normal
W015,0,23,300,300,13.043478260869565,0.0,0.5773292869333333,0.5773292869333333,0.23138644999999994,pass,normal
W019,0,22,300,300,13.636363636363637,0.0,0.5773292869333333,0.5773292869333333,0.34923715733333327,pass,normal
W010,0,21,300,150,14.285714285714286,0.0,0.5773292869333333,0.5773292869333333,0.5870435533333332,inspect,normal
W003,0,20,150,150,7.5,0.15,0.5773292869333333,0.6639286799733333,0.3200291966666665,pass,critical_budget
W013,0,19,150,150,7.894736842105263,0.15,0.5773292869333333,0.6639286799733333,0.5561021953333334,pass,critical_budget
W023,0,18,150,150,8.333333333333334,0.15,0.5773292869333333,0.6639286799733333,0.05918853266666661,pass,critical_budget
W008,0,17,150,150,8.823529411764707,0.15,0.5773292869333333,0.6639286799733333,0.28025110733333336,pass,critical_budget
W011,0,16,150,150,9.375,0.15,0.5773292869333333,0.6639286799733333,0.059434313333333266,pass,critical_budget
W023,0,15,150,150,10.0,0.08,0.5773292869333333,0.623515629888,0.5397939293333334,pass,low_budget
W019,0,14,150,150,10.714285714285714,0.08,0.5773292869333333,0.623515629888,0.24036908199999996,pass,low_budget
W024,0,13,150,150,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.3470877406666666,pass,low_budget
W011,0,12,150,150,12.5,0.0,0.5773292869333333,0.5773292869333333,0.17215734599999996,pass,normal
W001,0,11,150,150,13.636363636363637,0.0,0.5773292869333333,0.5773292869333333,0.45927785333333326,pass,normal
W007,0,10,150,150,15.0,0.0,0.5773292869333333,0.5773292869333333,0.4878702406666666,pass,normal
W001,0,9,150,150,16.666666666666668,0.0,0.5773292869333333,0.5773292869333333,0.517693264,pass,normal
W003,0,8,150,0,18.75,-0.05,0.5773292869333333,0.5484628225866666,0.5533334433333335,inspect,budget_surplus
W011,0,7,0,0,0.0,0.15,0.5773292869333333,0.6639286799733333,0.22967895333333327,pass,critical_budget
W003,0,6,0,0,0.0,0.15,0.5773292869333333,0.6639286799733333,0.22307039533333334,pass,critical_budget
W021,0,5,0,0,0.0,0.15,0.5773292869333333,0.6639286799733333,0.346614504,pass,critical_budget
W021,0,4,0,0,0.0,0.15,0.5773292869333333,0.6639286799733333,0.6549096806666667,pass,critical_budget
W018,0,3,0,0,0.0,0.15,0.5773292869333333,0.6639286799733333,0.4854121733333333,pass,critical_budget
W022,0,2,0,0,0.0,0.15,0.5773292869333333,0.6639286799733333,0.23344344666666658,pass,critical_budget
W009,0,1,0,0,0.0,0.15,0.5773292869333333,0.6639286799733333,0.551406998,pass,critical_budget
